Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000165891,E2F7,regulation of transcription by rna polymerase ii,negative regulation of g1/s transition of mitotic cell cycle,positive regulation of dna endoreduplication,sequence-specific double-stranded dna binding,dna-binding transcription repressor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,chromatin,transcription regulator complex
ENSG00000129173,E2F8,regulation of dna-templated transcription,positive regulation of transcription by rna polymerase ii,negative regulation of cytokinesis,sequence-specific double-stranded dna binding,dna-binding transcription repressor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,nucleoplasm,chromatin
ENSG00000116717,GADD45A,regulation of cyclin-dependent protein serine/threonine kinase activity,negative regulation of transcription by rna polymerase ii,positive regulation of jnk cascade,protein binding,promoter-specific chromatin binding,kinase binding,nucleus,nuclear speck,cytoplasm
ENSG00000087586,AURKA,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,mitotic spindle organization,meiotic spindle organization,histone h3s10 kinase activity,histone h2as121 kinase activity,histone h3t3 kinase activity,mitotic spindle,meiotic spindle,pronucleus
ENSG00000132646,PCNA,positive regulation of dna replication,mitotic telomere maintenance via semi-conservative replication,positive regulation of dna repair,dna polymerase binding,damaged dna binding,dinucleotide insertion or deletion binding,chromosome,pcna complex,nucleus
ENSG00000087088,BAX,positive regulation of apoptosis,release of sequestered calcium ion into cytosol,mitochondrial membrane permeability involved in apoptotic process,bh3 domain binding,channel activity,protein homodimerization activity,mitochondrion,mitochondrial outer membrane,mitochondrial permeability transition pore complex
ENSG00000175793,SFN,negative regulation of transcription by rna polymerase ii,negative regulation of innate immune response,positive regulation of protein export from nucleus,protein kinase c inhibitor activity,phosphoserine residue binding,cadherin binding,nucleus,extracellular exosome,cytosol
ENSG00000145632,PLK2,positive regulation of cell migration,mitotic spindle organization,peptidyl-serine phosphorylation,protein serine kinase activity,atp binding,protein kinase activity,centriole,cytoskeleton,nucleus
ENSG00000173846,PLK3,negative regulation of transcription by rna polymerase ii,mitotic g1/s transition checkpoint signaling,positive regulation of chaperone-mediated autophagy,protein serine/threonine kinase activity,protein serine kinase activity,p53 binding,kinetochore,nucleus,cytoskeleton
ENSG00000102760,RGCC,positive regulation of cyclin-dependent protein serine/threonine kinase activity,positive regulation of transcription by rna polymerase ii,negative regulation of fibroblast growth factor production,protein kinase activator activity,r-smad binding,protein binding,nucleus,cytosol,centrosome
ENSG00000118495,PLAGL1,regulation of transcription by rna polymerase ii,apoptotic process,positive regulation of cell cycle,dna-binding transcription repressor activity,rna polymerase ii-specific,dna binding,nucleus,nucleoplasm,nuclear body
ENSG00000115966,ATF2,positive regulation of transcription by rna polymerase ii,mitotic intra-s dna damage checkpoint signaling,negative regulation of transcription by rna polymerase ii,none,none,none,nucleus,mitochondrion,site of double-strand break
ENSG00000177606,JUN,positive regulation of transcription by rna polymerase ii,regulation of transcription by rna polymerase ii,positive regulation of mirna transcription,sequence-specific double-stranded dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,camp response element binding,nucleus,transcription factor ap-1 complex,euchromatin
ENSG00000170345,FOS,regulation of transcription by rna polymerase ii,positive regulation of mirna transcription,positive regulation of osteoclast differentiation,rna polymerase ii cis-regulatory region sequence-specific dna binding,transcription cis-regulatory region binding,sequence-specific double-stranded dna binding,nucleus,chromatin,transcription factor ap-1 complex
ENSG00000122512,PMS2,mismatch repair,dna repair,somatic recombination of immunoglobulin gene segments,atp hydrolysis activity,single base insertion or deletion binding,atp-dependent h3-h4 histone complex chaperone activity,nucleus,mismatch repair complex,mutlalpha complex
ENSG00000076242,MLH1,positive regulation of isotype switching to igg isotypes,somatic recombination of immunoglobulin genes involved in immune response,negative regulation of mitotic recombination,mismatched dna binding,atp-dependent dna damage sensor activity,guanine/thymine mispair binding,condensed nuclear chromosome,synaptonemal complex,nucleus
ENSG00000158169,FANCC,dna repair,interstrand cross-link repair,cellular response to oxidative stress,protein binding,dna binding,atpase activity,nucleus,fanconi anaemia nuclear complex,nucleoplasm
ENSG00000134574,DDB2,protein polyubiquitination,nucleotide-excision repair,uv-damage excision repair,ubiquitin-protein transferase activity,damaged dna binding,protein-containing complex binding,nucleus,cul4a-ring e3 ubiquitin ligase complex,chromosome
ENSG00000057657,PRDM1,regulation of nk cell differentiation,regulation of transcription by rna polymerase ii,positive regulation of gene expression,sequence-specific double-stranded dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,transcription cis-regulatory region binding,nucleus,nucleoplasm,cytoplasm
ENSG00000135679,MDM2,negative regulation of transcription by rna polymerase ii,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,negative regulation of dna-templated transcription,ubiquitin protein ligase activity,nedd8 ligase activity,zinc ion binding,nucleus,nucleolus,endocytic vesicle membrane
ENSG00000198625,MDM4,negative regulation of transcription by rna polymerase ii,negative regulation of dna-templated transcription,dna damage response,ubiquitin-protein transferase activity,zinc ion binding,protein binding,nucleus,transcription repressor complex,nucleoplasm
ENSG00000113328,CCNG1,regulation of cell cycle,negative regulation of apoptotic process,response to dna damage stimulus,cyclin-dependent protein serine/threonine kinase regulator activity,protein binding,dna binding,cytoplasmic microtubule organizing center,nucleus,nucleoplasm
ENSG00000064393,HIPK2,positive regulation of dna-binding transcription factor activity,transforming growth factor beta receptor signaling pathway,negative regulation of ubiquitin-dependent protein catabolic process,histone h2at120 kinase activity,histone h3s10 kinase activity,atp binding,nucleus,cytoplasmic stress granule,pml body
ENSG00000127445,PIN1,regulation of transcription by rna polymerase ii,positive regulation of protein phosphorylation,negative regulation of erk1 and erk2 cascade,rna polymerase ii ctd heptapeptide repeat p3 isomerase activity,phosphoserine residue binding,ubiquitin ligase activator activity,nucleus,nuclear speck,cytoplasm
ENSG00000163349,HIPK1,regulation of tumor necrosis factor-mediated signaling pathway,positive regulation of angiogenesis,intrinsic apoptotic signaling pathway in response to dna damage by p53 class mediator,histone h2bs14 kinase activity,histone h2bs36 kinase activity,histone h3s57 kinase activity,nucleus,centrosome,pml body
ENSG00000149136,SSRP1,regulation of chromatin organization,dna replication,dna repair,histone binding,chromatin binding,dna binding,nucleus,chromosome,nucleoplasm
ENSG00000092201,SUPT16H,transcription elongation,positive regulation of transcription,dna repair,rna binding,nucleosome binding,protein binding,chromosome,nucleus,fact complex
ENSG00000101266,CSNK2A1,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,negative regulation of double-strand break repair via homologous recombination,positive regulation of aggrephagy,histone h2as1 kinase activity,histone h2bs14 kinase activity,atp binding,nucleus,sin3-type complex,pml body
ENSG00000070770,CSNK2A2,regulation of chromosome separation,negative regulation of apoptotic signaling pathway,double-strand break repair,histone h2axs139 kinase activity,histone h3t45 kinase activity,histone h2bs36 kinase activity,nucleus,protein kinase ck2 complex,chromatin
ENSG00000088325,TPX2,regulation of mitotic spindle organization,mitotic spindle assembly,apoptotic process,protein kinase binding,molecular adaptor activity,importin-alpha family protein binding,microtubule cytoskeleton,mitotic spindle,nucleus
ENSG00000188976,NOC2L,negative regulation of transcription by rna polymerase ii,negative regulation of b cell apoptotic process,cellular response to uv,dna-binding transcription factor binding,histone binding,nucleosome binding,nucleolus,chromosome,noc1p-noc2p complex
ENSG00000176749,CDK5R1,regulation of cyclin-dependent protein kinase activity,positive regulation of microtubule polymerization,negative regulation of dna-templated transcription,cyclin-dependent protein serine/threonine kinase activator activity,protein serine/threonine kinase activator activity,calcium ion binding,cyclin-dependent protein kinase holoenzyme complex,dendrite,nucleus
ENSG00000164885,CDK5,negative regulation of protein ubiquitination,negative regulation of dna-templated transcription,positive regulation of calcium ion-dependent exocytosis,histone h3s10 kinase activity,histone h2as1 kinase activity,atp binding,cyclin-dependent protein kinase holoenzyme complex,microtubule,none
ENSG00000152192,POU4F1,regulation of transcription by rna polymerase ii,positive regulation of osteoclast differentiation,negative regulation of transcription by rna polymerase ii,sequence-specific double-stranded dna binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,dna-binding transcription activator activity,nucleus,nucleoplasm,chromatin
ENSG00000151615,POU4F2,regulation of transcription by rna polymerase ii,negative regulation of transcription by rna polymerase ii,positive regulation of axon extension,dna-binding transcription factor activity,rna polymerase ii-specific,sequence-specific dna binding,nucleus,euchromatin,nucleoplasm
ENSG00000172530,BANP,positive regulation of dna-templated transcription,protein localization to nucleus,negative regulation of catabolic process,dna binding,protein binding,chromatin remodeling,nuclear body,nucleoplasm,nucleus
